,geneamps_ENSG00000133627_ACTR3B,geneamps_ENSG00000011426_ANLN,geneamps_ENSG00000107262_BAG1,geneamps_ENSG00000171791_BCL2,geneamps_ENSG00000089685_BIRC5,geneamps_ENSG00000106605_BLVRA,geneamps_ENSG00000134057_CCNB1,geneamps_ENSG00000105173_CCNE1,geneamps_ENSG00000117399_CDC20,geneamps_ENSG00000094804_CDC6,geneamps_ENSG00000062038_CDH3,geneamps_ENSG00000117724_CENPF,geneamps_ENSG00000138180_CEP55,geneamps_ENSG00000171604_CXXC5,geneamps_ENSG00000146648_EGFR,geneamps_ENSG00000141736_ERBB2,geneamps_ENSG00000091831_ESR1,geneamps_ENSG00000174371_EXO1,geneamps_ENSG00000160867_FGFR4,geneamps_ENSG00000129514_FOXA1,geneamps_ENSG00000054598_FOXC1,geneamps_ENSG00000173890_GPR160,geneamps_ENSG00000141738_GRB7,geneamps_ENSG00000142945_KIF2C,geneamps_ENSG00000186847_KRT14,geneamps_ENSG00000128422_KRT17,geneamps_ENSG00000186081_KRT5,geneamps_ENSG00000186868_MAPT,geneamps_ENSG00000135679_MDM2,geneamps_ENSG00000165304_MELK,geneamps_ENSG00000261857_MIA,geneamps_ENSG00000148773_MKI67,geneamps_ENSG00000115648_MLPH,geneamps_ENSG00000099953_MMP11,geneamps_ENSG00000101057_MYBL2,geneamps_ENSG00000136997_MYC,geneamps_ENSG00000171428_NAT1,geneamps_ENSG00000080986_NDC80,geneamps_ENSG00000143228_NUF2,geneamps_ENSG00000091651_ORC6,geneamps_ENSG00000082175_PGR,geneamps_ENSG00000092621_PHGDH,geneamps_ENSG00000164611_PTTG1,geneamps_ENSG00000171848_RRM2,geneamps_ENSG00000104332_SFRP1,geneamps_ENSG00000141424_SLC39A6,geneamps_ENSG00000151715_TMEM45B,geneamps_ENSG00000176890_TYMS,geneamps_ENSG00000175063_UBE2C,geneamps_ENSG00000077152_UBE2T
PD6418a,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
PD7208a,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0
PD3904a,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0
PD4116a,2.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,8.0,3.0,4.0,4.0,3.0,4.0,10.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,10.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0
PD4985a,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
PD4267a,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,6.0,3.0,3.0,5.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,7.0,6.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,6.0,4.0,3.0,5.0,4.0,6.0
PD6018a,4.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0
PD4225a,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
PD4980a,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
PD6411a,6.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0
PD7207a,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0
PD4845a,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,7.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,7.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0,14.0,2.0,4.0,6.0,3.0,5.0
PD5925a,4.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0
PD9002a,3.0,2.0,3.0,3.0,6.0,2.0,4.0,4.0,3.0,6.0,2.0,5.0,3.0,4.0,2.0,6.0,4.0,6.0,4.0,2.0,4.0,7.0,6.0,3.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,3.0,3.0,3.0,7.0,11.0,1.0,3.0,6.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,7.0,5.0
PD8622a,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,1.0,4.0,4.0
PD4836a,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0
PD4115a,5.0,4.0,4.0,4.0,9.0,4.0,2.0,4.0,3.0,4.0,2.0,9.0,4.0,3.0,4.0,4.0,2.0,9.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,12.0,4.0,2.0,10.0,4.0,2.0,4.0,3.0,2.0,6.0,4.0,2.0,2.0,4.0,9.0
PD3851a,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0
PD7219a,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,4.0,4.0,2.0,2.0,6.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,6.0
PD9577a,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
PD4970a,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,6.0
PD4315a,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,13.0,1.0,2.0,2.0,2.0,3.0,7.0,7.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0
PD4963a,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0
PD4606a,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
PD4248a,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,2.0,2.0,8.0,4.0,4.0,5.0,2.0,3.0,9.0,4.0,6.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,8.0
PD7209a,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
PD3890a,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0
PD4085a,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
PD4959a,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0
PD5956a,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
PD9592a,3.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,6.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,6.0,3.0
PD4613a,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PD4088a,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,6.0,4.0,8.0,2.0,4.0,2.0,2.0,4.0,2.0,6.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0
PD6422a,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,24.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,6.0,3.0,2.0,4.0,2.0,3.0
PD6044a,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0
PD9569a,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0
PD6417a,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
PD7210a,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
PD4224a,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0
PD4953a,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
PD4604a,2.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0
PD4607a,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,8.0,4.0,4.0,4.0,4.0,2.0,8.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,8.0
PD3905a,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
PD9589a,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0
PD9000a,4.0,4.0,4.0,4.0,8.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,6.0,2.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,10.0,4.0,4.0,3.0,2.0,4.0,5.0,8.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0
PD4103a,4.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,11.0,1.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0
TCGA-A8-A09I,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,20.0,4.0,7.0,4.0,4.0,4.0,135.0,3.0,7.0,4.0,3.0,3.0,4.0,20.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,2.0,4.0,7.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,6.0,7.0
