Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,only_peaks,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,True,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6749999999999999,0.1428571428571429,0.15811388300841897,0.575,RF,False,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.5,0.2702702702702702,0.3952847075210474,0.625,NB,False,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45,0.052631578947368474,0.05976143046671968,0.525,LR,False,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.375,-0.34999999999999987,-0.35,0.325,kNN,False,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,RF,False,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,False,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,False,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.6666666666666666,1.0,0.8,0.85,0.5714285714285714,0.6324555320336759,0.8,kNN,False,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,RF,False,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,False,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.25,0.0,0.0,0.5,LR,False,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.46875,0.25,0.2581988897471611,0.625,kNN,False,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.4375,-0.25,-0.2581988897471611,0.375,RF,False,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.375,-0.25,-0.3779644730092272,0.375,NB,False,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.3125,0.0,0.0,0.5,LR,False,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,kNN,False,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,False,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.2857142857142857,0.6666666666666666,0.4,0.4666666666666667,-0.26315789473684204,-0.4879500364742666,0.3333333333333333,NB,False,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,-0.25,-0.2581988897471611,0.3666666666666667,LR,False,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3999999999999999,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,kNN,False,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.225,-0.34999999999999987,-0.35,0.325,RF,False,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.55,0.10000000000000009,0.1,0.55,NB,False,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.45000000000000007,-0.34999999999999987,-0.35,0.325,LR,False,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.375,-0.09756097560975618,-0.1,0.45,kNN,False,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.75,0.052631578947368474,0.05976143046671968,0.525,RF,False,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6499999999999999,0.3076923076923076,0.31622776601683794,0.65,NB,False,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.6,0.3076923076923076,0.31622776601683794,0.65,LR,False,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.65,0.10000000000000009,0.1,0.55,kNN,False,7,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.21875,-0.25,-0.2581988897471611,0.375,RF,False,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.1875,-0.25,-0.3779644730092272,0.375,NB,False,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6666666666666666,0.5,0.5714285714285715,0.375,0.25,0.2581988897471611,0.625,LR,False,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.3125,-0.25,-0.2581988897471611,0.375,kNN,False,8,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.25,0.25,0.25,0.3125,-0.5,-0.5,0.25,RF,False,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.42857142857142855,0.75,0.5454545454545454,0.375,-0.25,-0.3779644730092272,0.375,NB,False,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.375,0.0,0.0,0.5,LR,False,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.5,0.25,0.2581988897471611,0.625,kNN,False,9,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.7333333333333334,RF,False,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.5,NB,False,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.3333333333333333,0.5,0.5333333333333333,0.3846153846153846,0.4879500364742666,0.6666666666666666,LR,False,10,lung,RES vs NONRES,RES,cnv,del,supervised
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,kNN,False,10,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.55,0.10000000000000009,0.1,0.55,RF,True,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6,0.75,0.6666666666666665,0.75,0.3414634146341463,0.35,0.675,NB,True,1,lung,RES vs NONRES,RES,cnv,dip,supervised
