,dbfe_0_61912,dbfe_61912_288664,dbfe_288664_4757030,dbfe_4757030_inf,total_dbfe,frac_dbfe_0_61912,frac_dbfe_61912_288664,frac_dbfe_288664_4757030,frac_dbfe_4757030_inf,dbfe_total,CLASS_LABEL
TCGA-36-1570-01A,0.16521739130434782,0.06956521739130435,0.02608695652173913,0.23478260869565218,0.4956521739130435,0.002898550724637681,0.0012204424103737603,0.00045766590389016015,0.004118993135011442,115.0,1
TCGA-36-1571-01A,0.05128205128205128,0.10256410256410256,0.2564102564102564,0.07692307692307693,0.48717948717948717,0.002699055330634278,0.005398110661268556,0.013495276653171389,0.004048582995951417,39.0,1
TCGA-36-1574-01A,0.10204081632653063,0.054421768707483005,0.14965986394557826,0.19047619047619052,0.4965986394557824,0.0013978194017332962,0.0007455036809244247,0.0020501351225421676,0.0026092628832354863,146.99999999999997,1
TCGA-61-2000-01A,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.0,0.47368421052631576,0.017543859649122806,0.029239766081871347,0.005847953216374269,0.0,19.0,0
TCGA-61-2095-01A,0.21126760563380279,0.08450704225352111,0.11267605633802814,0.08450704225352111,0.49295774647887314,0.006036217303822936,0.0024144869215291746,0.0032193158953722325,0.0024144869215291746,71.00000000000001,0
