,dbfe_0_40958,dbfe_40958_2171080,dbfe_2171080_79544511,dbfe_79544511_inf,total_dbfe,frac_dbfe_0_40958,frac_dbfe_40958_2171080,frac_dbfe_2171080_79544511,frac_dbfe_79544511_inf,CLASS_LABEL
TCGA-36-1570,16,12,28,1,57,0.2807017543859649,0.21052631578947367,0.49122807017543857,0.017543859649122806,1
TCGA-36-1571,0,13,5,1,19,0.0,0.6842105263157895,0.2631578947368421,0.05263157894736842,1
TCGA-36-1574,12,21,40,0,73,0.1643835616438356,0.2876712328767123,0.547945205479452,0.0,1
TCGA-61-2000,1,8,0,0,9,0.1111111111111111,0.8888888888888888,0.0,0.0,0
TCGA-61-2095,13,16,6,0,35,0.37142857142857144,0.45714285714285713,0.17142857142857143,0.0,0
